dalla, 0.005736, 0.005295
daughter, 0.002197, 0.002421
cabin, 0.002807, 0.002572
girl, 0.000000, 0.001664
inform, 0.007078, 0.002723
relat, 0.004760, 0.001815
off, 0.026361, 0.010287
those, 0.005370, 0.005446
person, 0.013180, 0.003782
hello, 0.001953, 0.002118
charg, 0.013913, 0.003328
min, 0.041982, 0.003480
exact, 0.002075, 0.001815
again, 0.038443, 0.009682
guy, 0.030388, 0.025265
bag, 0.078960, 0.016339
prompt, 0.000000, 0.002118
south, 0.000000, 0.002118
true, 0.001587, 0.002421
bad, 0.019649, 0.004690
most, 0.007322, 0.003026
everyon, 0.008299, 0.002874
appreci, 0.007322, 0.015280
free, 0.008543, 0.009228
credit, 0.011472, 0.006203
flyfi, 0.000000, 0.001815
explain, 0.004271, 0.001513
promot, 0.000000, 0.001513
instead, 0.008299, 0.004236
morn, 0.010740, 0.011044
into, 0.012692, 0.008472
flyer, 0.004149, 0.001815
plan, 0.008421, 0.004539
more, 0.036002, 0.014826
two, 0.020991, 0.007262
between, 0.003661, 0.002118
pleasant, 0.000000, 0.001513
right, 0.016475, 0.011346
could, 0.018428, 0.013011
ewr, 0.007200, 0.002723
beyond, 0.003173, 0.002269
mobil, 0.002441, 0.001664
bday, 0.000000, 0.001513
airlin, 0.047352, 0.024357
arriv, 0.017940, 0.005749
someth, 0.006956, 0.004539
mexico, 0.001220, 0.001664
never, 0.033561, 0.006203
request, 0.006346, 0.004539
life, 0.004149, 0.003177
except, 0.003051, 0.001815
weve, 0.005980, 0.002269
met, 0.000000, 0.001513
show, 0.010984, 0.009077
chang, 0.038321, 0.021483
chanc, 0.004638, 0.007413
cheer, 0.000000, 0.001815
item, 0.002319, 0.001815
much, 0.011228, 0.020272
street, 0.000000, 0.002723
kid, 0.006956, 0.005446
continu, 0.004638, 0.001513
sure, 0.013791, 0.010287
flown, 0.002807, 0.002118
will, 0.054552, 0.050681
receiv, 0.010373, 0.004841
ill, 0.011960, 0.011649
watch, 0.004393, 0.003328
onlin, 0.019282, 0.005295
polici, 0.007078, 0.004690
safeti, 0.002197, 0.003026
tell, 0.021357, 0.006808
companion, 0.001464, 0.004539
drop, 0.005614, 0.002118
mco, 0.002685, 0.002421
share, 0.003173, 0.004236
thought, 0.004271, 0.003328
late, 0.045399, 0.007262
date, 0.002685, 0.004085
favorit, 0.000000, 0.002874
hour, 0.131804, 0.008623
virginamerica, 0.000000, 0.003328
